id,genre,title,author,purchase_date,member
1,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,util
2,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,util
3,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,book
4,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,0
5,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,0
6,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,coai
7,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,0
8,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,0
9,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,0
10,Sci-Fi,A Sci-Fi Adventure,John Smith,01/08/2010,0
11,Action,Avengers,Stan Lee,01/07/2003,coai
12,Action,Avengers,Stan Lee,01/07/2003,arad
13,Action,Avengers,Stan Lee,01/07/2003,util
14,Action,Avengers,Stan Lee,01/07/2003,0
15,Action,Avengers,Stan Lee,01/07/2003,0
16,Action,Avengers,Stan Lee,01/07/2003,0
17,Action,Avengers,Stan Lee,01/07/2003,arad
18,Action,Avengers,Stan Lee,01/07/2003,coaa
19,Action,Avengers,Stan Lee,01/07/2003,coaa
20,Action,Avengers,Stan Lee,01/07/2003,0
21,Action,Avengers,Stan Lee,08/11/2013,util
22,Action,Avengers,Stan Lee,08/11/2013,0
23,Action,Avengers,Stan Lee,08/11/2013,0
24,Action,Avengers,Stan Lee,08/11/2013,coai
25,Action,Avengers,Stan Lee,08/11/2013,0
26,Action,Avengers,Stan Lee,08/11/2013,0
27,Action,Avengers,Stan Lee,08/11/2013,suii
28,Action,Avengers,Stan Lee,08/11/2013,0
29,Action,Avengers,Stan Lee,08/11/2013,0
30,Action,Avengers,Stan Lee,08/11/2013,0
31,Crime,Burn the Past,Eva Smith,03/10/2007,0
32,Crime,Burn the Past,Eva Smith,03/10/2007,book
33,Crime,Burn the Past,Eva Smith,03/10/2007,0
34,Crime,Burn the Past,Eva Smith,03/10/2007,0
35,Crime,Burn the Past,Eva Smith,03/10/2007,0
36,Crime,Burn the Past,Eva Smith,03/10/2007,0
37,Crime,Burn the Past,Eva Smith,03/10/2007,0
38,Crime,Burn the Past,Eva Smith,03/10/2007,suii
39,Crime,Burn the Past,Eva Smith,03/10/2007,0
40,Crime,Burn the Past,Eva Smith,03/10/2007,0
41,Crime,An Inspector Calls,John Priestley,06/07/1995,0
42,Crime,An Inspector Calls,John Priestley,06/07/1995,0
43,Crime,An Inspector Calls,John Priestley,06/07/1995,util
44,Crime,An Inspector Calls,John Priestley,06/07/1995,0
45,Crime,An Inspector Calls,John Priestley,06/07/1995,0
46,Crime,An Inspector Calls,John Priestley,06/07/1995,0
47,Crime,An Inspector Calls,John Priestley,06/07/1995,book
48,Crime,An Inspector Calls,John Priestley,06/07/1995,0
49,Crime,An Inspector Calls,John Priestley,06/07/1995,book
50,Crime,An Inspector Calls,John Priestley,06/07/1995,coaa
